Group_id,Time (ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,1713344207710,-0.41,-1.47,10.81,0.24,0.02,-0.01
1,1713344207811,-0.23,-1.03,10.81,0.24,0.01,-0.00
1,1713344207913,-0.26,-1.08,10.83,0.24,0.01,0.02
1,1713344208014,-0.19,-1.08,10.81,0.24,0.01,0.04
1,1713344204248,-0.55,0.00,10.72,0.21,0.01,-0.01
1,1713344204351,-1.18,2.11,10.63,0.19,0.02,0.14
1,1713344204452,0.52,-1.13,10.41,0.18,0.01,0.38
1,1713344204554,-1.07,-0.20,11.50,0.19,0.01,0.26
1,1713344204656,-0.49,-0.24,10.83,0.19,0.01,0.32
1,1713344204758,-0.63,-0.88,10.59,0.18,0.02,0.32
1,1713344204860,0.12,-0.71,10.86,0.20,0.01,0.15
