Group_id,Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
35,1714127156651,-2.18,-0.58,10.26,0.27,-0.02,-0.01
35,1714127156755,-2.20,-0.44,10.60,0.23,0.01,0.02
35,1714127156857,-0.73,-0.97,11.67,0.26,0.13,-0.17
35,1714127157757,1.55,1.83,9.38,-0.50,0.16,0.05
35,1714127158601,-2.64,0.86,10.10,0.54,0.58,0.13
36,1714127161706,-1.46,-1.15,10.53,0.21,0.01,-0.02
36,1714127161811,-1.56,-1.26,10.40,0.21,0.01,-0.02
36,1714127162129,-2.53,-0.33,11.93,0.03,-0.15,0.03
36,1714127162355,-2.33,0.62,10.50,0.91,-0.50,0.33
36,1714127163015,2.23,2.24,8.71,-0.21,0.02,0.01
36,1714127163118,1.00,2.02,9.21,-0.33,0.21,-0.04
36,1714127163221,1.91,1.36,9.17,-0.42,0.23,0.02
36,1714127164190,-1.41,-1.85,10.47,0.41,0.19,-0.00
37,1714127167296,-1.52,-1.67,10.50,0.20,0.05,-0.06
37,1714127167398,-1.42,-1.99,10.42,0.17,0.02,-0.11
37,1714127167588,-1.98,-1.98,11.77,0.18,-0.03,0.05
37,1714127167883,-0.46,-2.21,11.88,0.92,-0.48,-0.05
37,1714127167986,-1.56,-1.34,11.16,1.00,0.13,0.16
37,1714127168743,2.29,1.63,9.23,-0.20,0.20,0.01
37,1714127168845,1.20,1.57,9.12,-0.33,0.26,0.05
37,1714127168949,1.24,0.91,9.45,-0.49,0.33,0.11
37,1714127169666,-0.50,-3.05,11.85,0.29,0.08,-0.09
38,1714127172771,-0.99,-2.59,10.10,0.25,0.16,0.02
38,1714127172874,-0.95,-2.80,10.12,0.21,0.04,-0.01
38,1714127172978,-0.44,-3.20,10.65,0.18,-0.01,-0.06
38,1714127173081,-0.74,-3.02,11.50,0.23,-0.02,0.01
38,1714127173222,-1.50,-2.42,12.10,0.72,-0.48,0.06
38,1714127173325,0.23,-2.12,11.60,0.97,-0.76,-0.14
38,1714127174053,2.51,1.32,9.21,-0.48,-0.10,-0.05
38,1714127175015,-0.75,-2.70,10.64,0.26,0.22,0.02
39,1714127178121,-0.85,-2.89,10.14,0.17,-0.02,-0.00
39,1714127178224,-1.21,-2.86,10.27,0.18,-0.00,-0.01
39,1714127178327,-1.16,-2.89,10.26,0.24,0.06,-0.01
39,1714127178429,-0.70,-2.97,11.10,0.16,-0.06,-0.06
39,1714127178556,-1.47,-2.21,11.62,1.09,-0.10,-0.02
39,1714127179465,1.48,0.69,9.78,-0.46,0.14,0.01
39,1714127180490,-1.10,-3.36,10.15,0.24,0.06,0.01
40,1714127183596,-1.14,-3.28,10.14,0.21,0.01,-0.01
40,1714127183699,-1.16,-3.25,10.26,0.20,-0.02,-0.04
40,1714127183803,-0.84,-3.15,9.96,0.21,-0.02,-0.03
40,1714127183905,-0.75,-3.27,9.95,0.24,0.06,-0.03
40,1714127184009,-1.37,-3.23,10.36,0.25,0.08,-0.00
40,1714127184111,-0.54,-3.18,11.32,0.17,0.12,-0.04
40,1714127184215,-1.29,-2.57,11.96,1.14,-0.46,0.18
40,1714127184696,1.50,0.55,10.22,-0.35,0.01,0.10
40,1714127185694,0.86,-3.68,10.83,0.34,0.12,-0.02
41,1714127188799,-0.55,-3.27,10.23,0.19,-0.08,0.05
41,1714127188903,-0.38,-3.35,10.14,0.24,-0.02,0.01
41,1714127189005,-0.63,-3.23,10.20,0.26,0.02,0.07
41,1714127189108,-1.05,-2.16,10.69,0.62,0.11,-0.04
41,1714127189210,-1.16,-1.63,10.70,0.69,0.27,0.04
41,1714127189313,-1.97,-0.89,10.47,0.35,0.22,-0.08
41,1714127189416,-1.73,-0.73,10.47,0.36,0.27,-0.06
41,1714127189519,-2.38,-0.28,10.40,0.18,0.07,-0.07
41,1714127189622,-2.19,-0.60,10.49,0.15,-0.02,0.01
41,1714127189725,-2.44,-0.80,10.42,0.06,0.08,-0.08
41,1714127189828,-2.53,-0.61,10.32,0.17,0.09,0.02
41,1714127189931,-2.06,-1.12,10.39,0.23,0.01,0.02
41,1714127190033,-1.80,-1.00,10.06,0.14,-0.03,0.00
