Group_id,Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
3,1714685946783,-3.04,0.70,10.14,0.04,-0.05,0.06
3,1714685946815,-3.14,0.76,10.49,0.09,0.03,0.04
3,1714685946847,-3.51,1.11,10.50,0.15,0.06,0.00
3,1714685946880,-3.84,0.93,10.27,0.18,-0.03,-0.00
3,1714685946912,-3.38,0.94,10.01,0.19,-0.03,0.02
3,1714685946945,-3.31,0.95,9.96,0.14,0.01,0.01
3,1714685946978,-3.34,0.83,10.07,0.12,-0.03,0.02
3,1714685947010,-3.26,0.94,9.89,0.10,-0.03,-0.00
3,1714685947042,-3.24,0.68,10.62,0.16,-0.05,0.02
3,1714685947075,-3.16,0.82,9.91,0.16,0.01,0.00
4,1714685950108,-3.07,0.76,9.97,0.12,-0.09,-0.06
4,1714685950140,-3.34,0.68,10.32,0.12,-0.04,-0.02
4,1714685950173,-2.74,0.53,10.02,0.14,-0.03,0.02
4,1714685950205,-2.98,0.63,10.21,0.11,-0.05,-0.00
4,1714685950237,-2.88,0.55,10.26,0.19,0.07,-0.04
4,1714685950269,-3.19,0.63,10.13,0.18,0.01,-0.02
4,1714685950302,-3.12,0.70,10.07,0.18,0.01,0.00
4,1714685950335,-3.04,0.74,10.03,0.18,0.03,-0.02
4,1714685950367,-3.17,0.60,10.35,0.18,0.04,-0.04
4,1714685950400,-3.15,0.76,10.08,0.22,0.05,-0.03
4,1714685950432,-3.22,0.68,10.13,0.22,0.05,-0.03
4,1714685950465,-3.07,0.68,10.13,0.23,0.04,-0.04
4,1714685950497,-3.26,0.66,10.36,0.28,0.04,-0.05
4,1714685950529,-2.90,0.79,10.01,0.25,0.02,-0.07
4,1714685950562,-3.54,0.73,10.42,0.24,0.05,-0.07
4,1714685950595,-3.76,0.77,10.45,0.20,0.10,-0.03
4,1714685950627,-2.89,0.24,12.90,0.74,0.04,0.17
4,1714685950659,-0.74,1.16,2.69,0.30,0.02,-0.25
4,1714685950691,-2.49,0.36,11.73,0.07,-0.15,0.04
4,1714685950724,-2.79,0.75,11.24,0.10,-0.08,0.10
4,1714685950756,-2.77,0.71,9.78,0.21,0.10,-0.06
4,1714685950789,-3.35,0.74,10.20,0.15,0.04,-0.08
4,1714685950821,-3.49,0.73,10.14,0.16,0.05,-0.05
4,1714685950854,-3.05,0.64,10.24,0.19,0.02,-0.05
4,1714685950886,-3.05,0.64,10.13,0.19,0.06,-0.03
4,1714685950919,-3.24,0.72,10.07,0.19,0.10,-0.01
4,1714685950952,-3.18,0.67,10.18,0.19,0.11,-0.01
4,1714685950985,-3.30,0.68,10.15,0.21,0.12,-0.01
4,1714685951017,-3.32,0.64,10.06,0.19,0.11,-0.01
4,1714685951051,-3.32,0.61,10.00,0.18,0.10,-0.00
4,1714685951083,-3.38,0.59,10.14,0.18,0.11,0.02
4,1714685951115,-3.33,0.69,10.07,0.19,0.11,0.03
4,1714685951148,-3.50,0.75,10.09,0.18,0.10,0.02
4,1714685951180,-3.69,0.75,9.98,0.18,0.07,0.02
4,1714685951213,-3.47,0.85,9.89,0.18,0.04,0.03
4,1714685951246,-3.46,0.73,10.12,0.21,0.06,0.03
4,1714685951278,-3.56,0.75,9.84,0.21,0.06,0.03
4,1714685951311,-3.46,0.63,9.93,0.19,0.06,0.05
4,1714685951344,-3.35,0.77,10.15,0.24,0.12,0.03
4,1714685951377,-3.47,0.79,9.80,0.20,0.00,-0.01
4,1714685951409,-3.64,0.78,9.95,0.16,-0.01,-0.02
4,1714685951441,-3.34,0.64,10.13,0.16,-0.00,-0.02
4,1714685951473,-3.33,0.74,9.84,0.16,-0.01,-0.04
4,1714685951506,-3.49,0.71,9.96,0.17,-0.02,-0.04
4,1714685951538,-3.46,0.67,10.10,0.17,-0.00,-0.04
4,1714685951571,-3.47,0.77,10.08,0.19,0.02,-0.03
4,1714685951603,-3.45,0.76,10.05,0.19,-0.03,-0.03
4,1714685951635,-3.51,0.69,10.01,0.19,0.01,-0.03
4,1714685951668,-3.32,0.72,10.07,0.18,0.01,-0.03
4,1714685951700,-3.48,0.71,9.95,0.18,0.01,-0.04
4,1714685951732,-3.63,0.73,9.94,0.18,-0.00,-0.03
4,1714685951765,-3.39,0.63,10.00,0.18,-0.00,-0.04
4,1714685951799,-3.39,0.63,10.01,0.18,-0.01,-0.04
4,1714685951832,-3.45,0.61,10.08,0.18,-0.00,-0.04
4,1714685951865,-3.48,0.66,10.02,0.18,-0.02,-0.04
4,1714685951898,-3.42,0.64,10.11,0.18,-0.00,-0.04
4,1714685951931,-3.49,0.64,10.10,0.18,-0.02,-0.03
4,1714685951964,-3.48,0.58,10.12,0.19,0.01,-0.04
4,1714685951997,-3.31,0.55,10.12,0.19,0.00,-0.04
4,1714685952030,-3.33,0.56,10.14,0.19,0.00,-0.03
4,1714685952063,-3.39,0.62,10.08,0.19,0.01,-0.03
4,1714685952097,-3.34,0.62,10.11,0.21,0.03,-0.03
4,1714685952130,-3.37,0.65,10.05,0.20,0.01,-0.04
4,1714685952164,-3.43,0.69,9.96,0.19,-0.01,-0.03
5,1714685955199,-3.28,0.64,10.14,0.19,-0.00,-0.03
5,1714685955231,-3.42,0.62,10.05,0.19,0.03,-0.03
5,1714685955265,-3.54,0.60,9.98,0.15,-0.02,-0.00
5,1714685955298,-3.23,0.61,9.79,0.11,-0.05,-0.02
5,1714685955331,-3.71,0.66,9.82,0.10,-0.10,-0.15
5,1714685955364,-3.88,0.30,9.84,0.02,-0.28,-0.17
5,1714685955398,-3.37,0.11,10.42,-0.08,-0.38,-0.18
5,1714685955431,-2.56,0.02,10.67,-0.04,-0.28,-0.24
5,1714685955463,-3.75,-0.40,11.23,-0.08,-0.29,-0.25
5,1714685955496,-3.53,-0.56,10.55,-0.09,-0.62,-0.19
5,1714685955528,-3.64,0.45,10.30,-0.12,-0.53,-0.20
5,1714685955561,-2.72,-0.32,11.16,-0.27,-0.73,-0.13
5,1714685955594,-2.10,-0.84,10.52,-0.02,-0.55,-0.18
5,1714685955626,-1.76,-0.17,9.96,0.18,-0.09,-0.25
5,1714685955659,-1.82,-0.03,10.03,0.12,0.05,-0.28
5,1714685955692,-2.25,0.43,9.80,0.14,-0.07,-0.23
5,1714685955724,-1.45,0.79,9.59,0.13,0.06,-0.26
5,1714685955757,-1.09,0.08,9.74,0.21,0.23,-0.32
5,1714685955789,-1.27,0.15,9.78,0.44,0.54,-0.40
5,1714685955822,-1.87,0.26,9.82,0.45,0.61,-0.43
5,1714685955855,-3.30,0.06,10.10,0.58,0.60,-0.36
5,1714685955888,-3.88,0.40,10.17,0.43,0.25,-0.27
5,1714685955920,-2.66,-0.98,12.01,0.48,0.33,-0.24
5,1714685955952,-4.09,-0.10,12.17,0.54,0.12,-0.14
5,1714685955984,-2.49,0.35,9.99,0.52,0.14,-0.03
5,1714685956017,-2.29,0.02,10.32,0.34,0.10,-0.07
5,1714685956050,-2.90,-0.56,10.66,0.38,0.09,-0.08
5,1714685956082,-3.03,0.00,10.26,0.34,0.14,-0.08
5,1714685956115,-3.39,-0.52,10.19,0.30,-0.01,-0.05
5,1714685956147,-3.14,-0.08,10.24,0.28,-0.04,-0.06
5,1714685956180,-2.90,-0.11,10.23,0.25,-0.04,-0.05
5,1714685956212,-3.08,0.12,10.13,0.23,-0.10,-0.06
5,1714685956245,-3.08,0.21,10.18,0.22,-0.07,-0.07
5,1714685956277,-2.84,0.14,10.09,0.21,-0.04,-0.08
5,1714685956310,-2.62,0.47,10.23,0.22,0.00,-0.09
5,1714685956342,-3.23,0.43,10.30,0.20,-0.03,-0.07
5,1714685956376,-2.95,0.19,10.26,0.20,-0.02,-0.05
5,1714685956408,-2.91,0.18,10.35,0.22,0.02,-0.06
5,1714685956440,-3.03,0.28,10.22,0.24,0.04,-0.06
5,1714685956472,-3.04,0.05,9.95,0.25,0.10,-0.07
5,1714685956504,-2.96,0.07,10.26,0.24,0.14,-0.09
5,1714685956537,-3.21,0.08,10.30,0.23,0.08,-0.05
5,1714685956570,-2.95,-0.06,10.19,0.26,0.14,-0.06
5,1714685956602,-3.24,0.44,10.22,0.24,0.12,-0.04
5,1714685956635,-2.60,0.41,10.21,0.21,0.10,-0.02
5,1714685956667,-2.62,0.25,10.21,0.22,0.14,-0.03
5,1714685956700,-3.03,0.67,10.15,0.21,0.16,-0.07
5,1714685956732,-3.63,0.35,10.08,0.18,0.05,-0.04
5,1714685956765,-2.82,0.39,10.07,0.15,0.01,-0.02
5,1714685956797,-2.88,0.22,10.46,0.18,0.10,-0.04
5,1714685956829,-3.33,0.32,10.01,0.18,0.06,-0.01
5,1714685956861,-3.09,0.35,10.24,0.19,0.06,0.01
5,1714685956894,-2.83,-0.93,10.41,0.11,-0.05,-0.03
5,1714685956926,-2.56,-0.91,10.42,0.12,0.02,-0.02
5,1714685956959,-2.56,-0.91,10.43,0.15,0.04,-0.04
5,1714685956991,-2.68,-0.97,10.38,0.14,-0.02,-0.04
5,1714685957024,-2.59,-1.02,10.27,0.14,-0.04,-0.03
5,1714685957057,-2.51,-1.06,10.31,0.15,0.05,-0.05
5,1714685957089,-2.61,-1.03,10.28,0.14,0.04,-0.05
5,1714685957121,-2.55,-1.12,10.30,0.11,-0.04,-0.05
5,1714685957153,-2.41,-1.14,10.22,0.11,0.03,-0.06
5,1714685957186,-2.69,-1.18,10.26,0.14,0.06,-0.06
5,1714685957218,-2.67,-1.22,10.38,0.13,-0.02,-0.04
5,1714685957251,-2.41,-1.18,10.42,0.14,0.03,-0.05
6,1714685960284,-2.77,-1.17,10.42,0.16,0.04,-0.05
6,1714685960317,-2.59,-1.16,10.43,0.16,-0.01,-0.03
6,1714685960349,-2.55,-1.19,10.18,0.16,0.04,-0.02
6,1714685960381,-2.49,-1.12,10.19,0.15,0.04,-0.02
6,1714685960413,-2.68,-1.18,10.19,0.13,0.01,-0.03
6,1714685960445,-2.51,-1.23,10.13,0.13,0.03,-0.03
6,1714685960478,-2.66,-1.18,10.22,0.12,0.05,-0.03
6,1714685960512,-2.60,-1.30,10.28,0.11,0.02,-0.02
6,1714685960545,-2.48,-1.23,10.09,0.10,0.07,-0.03
6,1714685960576,-2.75,-1.25,10.20,0.07,0.03,-0.02
6,1714685960609,-2.52,-1.43,10.25,0.06,0.00,-0.02
6,1714685960642,-2.49,-1.42,10.04,0.06,0.07,-0.04
6,1714685960674,-2.68,-1.38,9.96,0.01,0.07,-0.04
6,1714685960706,-2.50,-1.50,10.16,-0.07,-0.04,-0.04
6,1714685960738,-2.28,-1.18,10.38,-0.18,-0.03,-0.05
6,1714685960771,-2.84,-0.80,11.82,-0.42,-0.22,0.02
6,1714685960803,-2.38,-0.86,13.86,-0.68,-0.55,0.15
6,1714685960835,-1.83,-2.29,16.25,-0.58,-0.49,0.19
6,1714685960867,-2.33,-3.42,18.08,-0.06,-0.43,0.18
6,1714685960900,-3.44,-4.02,18.07,0.71,-0.56,0.18
6,1714685960934,-3.62,-4.27,17.18,1.65,-0.84,0.29
6,1714685960966,-3.33,-3.71,15.27,2.46,-0.74,0.32
6,1714685960999,-3.24,-3.09,13.33,3.01,-0.53,0.37
6,1714685961032,-3.20,-2.81,11.37,3.57,-0.56,0.44
6,1714685961064,-3.71,-1.70,10.36,3.67,-1.00,0.52
6,1714685961097,-2.51,-1.17,8.77,3.62,-0.89,0.59
6,1714685961129,-2.35,-0.76,7.46,3.86,-0.54,0.67
6,1714685961162,-2.55,0.59,7.03,3.83,-1.05,0.88
6,1714685961195,-0.65,2.22,5.73,3.37,-0.99,0.80
6,1714685961228,-0.35,2.75,5.12,3.03,-0.93,0.75
6,1714685961260,1.77,3.83,3.89,2.87,-0.70,0.71
6,1714685961293,0.92,5.27,3.32,2.41,-0.71,0.65
6,1714685961325,3.20,5.79,1.77,1.90,-0.39,0.49
6,1714685961358,2.95,6.04,1.23,1.48,-0.22,0.36
6,1714685961391,3.89,6.19,-0.27,0.89,-0.04,0.11
6,1714685961424,3.14,6.66,-1.14,0.09,0.43,-0.23
6,1714685961457,2.44,6.31,-0.88,-0.76,0.48,-0.36
6,1714685961489,2.76,5.05,-0.73,-1.37,0.84,-0.58
6,1714685961522,2.11,3.85,1.03,-1.99,1.20,-0.93
6,1714685961555,1.14,3.01,1.94,-2.49,1.40,-1.24
6,1714685961587,-2.12,2.43,3.56,-3.00,1.66,-1.33
6,1714685961620,-2.53,1.55,6.25,-3.39,1.39,-1.21
6,1714685961653,-2.52,-0.35,7.03,-3.42,1.64,-1.23
6,1714685961685,-3.81,-0.48,11.60,-3.54,1.27,-1.36
6,1714685961717,-4.41,-1.06,12.90,-3.26,1.11,-1.44
6,1714685961750,-4.17,-1.44,14.36,-2.99,1.26,-1.26
6,1714685961782,-7.20,-2.10,15.86,-2.40,0.68,-1.00
6,1714685961814,-5.09,-2.10,16.44,-2.05,0.57,-0.87
6,1714685961847,-4.70,-2.66,16.31,-1.37,1.15,-0.68
6,1714685961881,-6.32,-2.16,14.97,-0.79,0.78,-0.54
6,1714685961912,-4.59,-1.99,14.19,-0.73,0.27,-0.44
6,1714685961946,-4.54,-2.32,13.27,-0.53,0.26,-0.33
6,1714685961978,-4.97,-2.53,11.92,-0.21,0.20,-0.15
6,1714685962010,-3.90,-2.30,11.97,-0.07,0.06,-0.00
6,1714685962043,-3.37,-2.50,11.28,0.12,0.09,-0.02
6,1714685962075,-3.88,-2.32,10.50,0.26,0.11,-0.04
6,1714685962109,-3.89,-2.26,10.24,0.28,0.02,-0.02
6,1714685962141,-3.71,-2.22,9.82,0.32,0.06,-0.02
6,1714685962173,-4.04,-2.22,9.63,0.32,0.06,-0.02
6,1714685962205,-4.08,-2.28,9.56,0.33,-0.04,0.01
6,1714685962238,-3.94,-2.42,9.38,0.32,0.00,0.03
6,1714685962270,-3.90,-2.40,9.18,0.32,0.07,0.03
6,1714685962302,-4.14,-2.23,9.25,0.28,-0.05,0.05
6,1714685962335,-3.71,-2.25,9.36,0.23,0.05,0.04
7,1714685965368,-3.77,-2.28,9.28,0.21,0.21,0.04
7,1714685965401,-4.37,-2.16,9.59,0.17,0.06,0.08
